,name,price,product_url,image,rating,number_of_sales,tiki_now,freeship,under_price,discount,installment,gift,advertising,oficial or credit,tikinow_member_deal
0,Điện Thoại Samsung Galaxy M12 (4GB/64GB) - Hàng Chính Hãng,3709000,https://tka.tiki.vn/pixel/pixel?data=djAwMc6l61aSz6BSdBxCKz4ml5MYb0wAxWN-mRisXdgDgxqrvJ3EcriHZfjW9OejhRc0Mgf_a2z32zGLFORHn2CHAc3uC2JNzWALU6GKn7J_tjPKhWfAQ6FH3-MtQWtPZAcln-m_bwA1GW3hUnqfcpouh-jDru-9R4DmVb4A-bZ0JeDPIRVYJpsCiFnjgedyRS_A3JSplzvfSsSywHzdGvM7DaLTJ8acH3_MTwKZUoJmlMyRAs9nxicgKQRlAf46JmiHfOqtk977iWvO4LV5wCDOueKpBraKHc2SGTva1kp8j-E_c92hMZweskf-jHxnY_rKR0U5QPI_G66RA9BbGuY9BO7j-Am1xeJkb8jg21kZ-85PwfRf51ZUe_Qh6hsrOtBtf5X18lwMxMgelMxU1djrj9e7TqA6MqI2sEPITLC8y65vmcb5VuyHKEPq75F_F5Uc1s2aeZigP70qJKXsPodBTdoInpLFH8Aj4sDc_820FKWLknR-HM3oNWx9p_xZQboJ4IKhOmi0KeTIzSaUF9X6TO49p7Bx7_9Jq5ZfnB0Su_vFuWXNRM1sVVeRly6nUfuaUUmljNj51QmCHR5QmmxgLKO8RAe1S8TgbngW_uvir62kANringYJ8Ire8RTyk-znhaHB5jPEdNDvCkngp90iBaQjWHtL91DavjREyx6lEt9A3MQTYNxyoCVYzTuYtH6eEfLiWxF0wpDV0N0PVdXvhXc3lc_wRFMiMfmTXmfPAueyVNtOs7buGjsexT_m_nylpCw2dAIlHmmSSWgkMfBXLuCzxpiFiqg7vkebxNinlYhWGcTu03rdPw4qS5tn0akvuIs0J9iYiqa2IBYOjwKKQ_LSHmQEm6YuWL2PQXERbeIvQY0RzzcbsDkvaomA6vO4Ed5_2lxQLQaqx9m6Ay8b_RoKvCOn97h1eJ0pPuEfFmxZGMEbJAN1sOLcQkPNBA&CLICK&reqid=wuMYXz6KLC&pos=1&redirect=https%3A%2F%2Ftiki.vn%2Fdien-thoai-samsung-galaxy-m12-4gb-64gb-hang-chinh-hang-p99376042.html%3Fspid%3D99376047,https://salt.tikicdn.com/cache/200x200/ts/product/9b/f1/51/2c921037720881783b8a14896beb489e.PNG,4.8,1000,True,False,False,5,True,False,Ad,,No
1,Điện Thoại iPhone 12 Mini 64GB - Hàng Chính Hãng,18990000,https://tiki.vn/dien-thoai-iphone-12-mini-64gb-hang-chinh-hang-p121954523.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_rulebase-newsku-listing-selected-w-competitor-v1_UNK_RB_PID.155141986&itm_medium=CPC&itm_source=tiki-reco&spid=155141986,https://salt.tikicdn.com/cache/200x200/ts/product/91/c6/98/8a7d03108eee10ed9c93281504bd5fb4.jpg,0.0,False,True,True,False,0,False,False,False,,False
2,Điện Thoại Samsung Galaxy M12 (4GB/64GB) - Hàng Chính Hãng,3709000,https://tiki.vn/dien-thoai-samsung-galaxy-m12-4gb-64gb-hang-chinh-hang-p99376042.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202201100600_MD_PID.99376044&itm_medium=CPC&itm_source=tiki-reco&spid=99376044,https://salt.tikicdn.com/cache/200x200/ts/product/16/4f/21/cc4e53df68df4e13a70364ef68af814c.PNG,4.8,,True,False,False,5,True,False,False,,No
3,Điện Thoại Vivo Y20 (4GB/64GB) - Hàng Chính Hãng,3429000,https://tiki.vn/dien-thoai-vivo-y20-4gb-64gb-hang-chinh-hang-p70765398.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_rulebase-newsku-listing-selected-w-competitor-v1_UNK_RB_PID.154167466&itm_medium=CPC&itm_source=tiki-reco&spid=154167466,https://salt.tikicdn.com/cache/200x200/ts/product/2c/4b/92/a4392c67133c0486ce13cf897d98bd1d.jpg,0.0,False,True,False,False,0,False,False,False,,False
4,Máy Tính Bảng Samsung Galaxy Tab S7 FE LTE T735 (4GB/64GB) - Hàng Chính Hãng,10490000,https://tka.tiki.vn/pixel/pixel?data=djAwMZArAiVCsLtq8QPGSzOw-1u3AaEvvu6kLnVngO6cJ1yATZnCrj-m1n5NCqGwUh_j355RTuGvqCkstYHlqFjtY_QGvO_JwBBcr9F1CVQJMnBAm-wawfnFom22ZDzKaKd5ru5u3VO-up1afAmQBtfafR-kQMwe5_kXFCzHZ-yhqwD3HCXn6BEA0ZClgKCYJfEJPb8G9is-yO8QyZhMmwToAeNFwgqMk1T7uLOnGDbA2TeLUOBtLuWFWYNOLeXaoegJRX2AXp2zygSw6CdApexv-uigehXj33iMj3Blzavk3oYc2ZELT2UlU8Ywj3TnrByUOAgGJaxkUom7W7SSb3WoC7yUrHQNureB4RqAtLHndQvNdEpv4ubxyDQ_twNmvLyCtDP6gFAbIs7dhatXcCFeTM25AqBCk2gSO8LS54B0kCMEUMhW7IstTrCu0Ts0wezxwh-0E-S6B5x4JS6BA_yTaV3p49y4Hg6hWDJSCJg-7LgSKv2w_W1WV0PsarrCnsOoH9hxeQOlZ3JnVGsfyqIUOHSsjGrtofSDTFGylx-7MbnVrrYhi4W1Ct4ExL6xVwdKyCRogsQjtmTd8flm-by_gBJS_qPp4XvCAz04MCKgFKcxO1d1Iioohx3isut7Bkg8XkvFP6nh1i5Kv4dKq1Zn4fzdpq330eEX9do7wEH5YxnTg1YvmUJ2MQ-Pq21I-UWMJWz070ZJjd5keG_B0e3GcvNKUl8LtrqaIW6rMWXYyJTZTfLrlHnlhJZ7oZiKUkzXBirccwAk8JRa5b61uJwRbiy-uJFAvohYT2z-qJR8e8ZjsG_Y3B8oA0dgI2Ja6AzAWrf-ctyuijZMUFpaBXh_biuxpLqfyyFvaUisawxtMAyS8JQKJExxPqH0SXKThvstDCQsptKOVpwiWMIDWazEi2Qmtl-T7Vq2dA1ZaZ2OVMC_RYbIFI6HdCoIUt4vcjGbSsq3JHu2OcUu&CLICK&reqid=wuMYXz6KLC&pos=5&redirect=https%3A%2F%2Ftiki.vn%2Fmay-tinh-bang-samsung-galaxy-tab-s7-fe-lte-t735-4gb-64gb-hang-chinh-hang-p113920312.html%3Fspid%3D113920314,https://salt.tikicdn.com/cache/200x200/ts/product/65/89/c7/66b73e67009e0af7204efb3c06d94590.jpg,5.0,43,True,False,False,25,False,False,Ad,,False
5,Điện Thoại iPhone 12 Mini 128GB - Hàng Chính Hãng,20990000,https://tiki.vn/dien-thoai-iphone-12-mini-128gb-hang-chinh-hang-p71201344.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_rulebase-newsku-listing-selected-w-competitor-v1_UNK_RB_PID.155140111&itm_medium=CPC&itm_source=tiki-reco&spid=155140111,https://salt.tikicdn.com/cache/200x200/ts/product/6e/32/25/09fa0950350f3e436cdc61fa50a5038b.jpg,0.0,False,True,True,False,0,False,False,False,,False
6,Điện thoại Xiaomi POCO X3 PRO - Hàng Chính Hãng,5040000,https://tiki.vn/dien-thoai-xiaomi-poco-x3-pro-hang-chinh-hang-p87645053.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202201100600_MD_PID.102708684&itm_medium=CPC&itm_source=tiki-reco&spid=102708684,https://salt.tikicdn.com/cache/200x200/ts/product/43/81/ec/936a562dc524bf0f84e1d72a093a84de.JPG,4.8,,True,False,True,0,False,False,False,,False
7,"Điện thoại thông minh Bphone A60, nhiếp ảnh điện toán, 2 sim, bảo mật  – Hàng chính hãng",5840000,https://tiki.vn/dien-thoai-thong-minh-bphone-a60-nhiep-anh-dien-toan-2-sim-2-song-bao-mat-hang-dau-hang-chinh-hang-p152949429.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_rulebase-newsku-listing-selected-w-competitor-v1_UNK_RB_PID.152949430&itm_medium=CPC&itm_source=tiki-reco&spid=152949430,https://salt.tikicdn.com/cache/200x200/ts/product/34/08/70/c6a367a5d604ed89550876e88d8f95b2.png,0.0,False,True,True,False,10,True,False,False,,No
8,Điện Thoại Samsung Galaxy M22 (6GB/128GB) - Hàng chính hãng,4390000,https://tka.tiki.vn/pixel/pixel?data=djAwMWn16sjWtmj-DI3WhZgNZg2_CHtnm7vSTd3gjqIX99xrA1B57WKKUADPMtsJE6iYGdLcT51WpEkc1V_4z-R7AcpwOSllbDPg4sZVY18y-VHjBOQJOnuAkG43422dtOcF1dKvy8_znSGXUVhRZvqvABRJMg8w6iWHivTQdInyDsx0eXOd3KJmdybI8sww2mnOP0PIom4vr2IfydnTPwilMaiqyWwmDYJbsYc9N9r65OiwcHvGoXW4uX7_totMZXQgAg6b8Wq6vFQP_suUr5U6SIj8PNajkbshdbogc6jxOh9R3fEd-jU-dNn-rVvh5tAl89lVInjXqXnx_QOPJWy-tX94_w53_Rjqyp5kmzhLc8plXqtiOif6Zehxjn_9997i4lxQ1hg7DUKuodUXAZiHMfRuNA-n2HAvX9L9rpaMO6t9CoHOJAWEVlaW1nMsManl3AByVGl6cDGzZFQv75AZuJLYOXl_PqvmKk-Y-wzMbqloxw9HZjLL49TZJfOQ0h6jIz7ctpMpK7jy9SVPgXOJ5qcY_XbIalGe_ClBIsOoSe-P5wcVQ5c5NvSXeoAJzSZ1-lukqkKZ2iL16DKARzALK6jmfdvNmXxwTy2-nylXXvRWfecc5U9Uv0gvwAKY7szTH1WVi9ff5fmG5KVViu8nBQPAAZQ93d8QhXHU15ea0fhQNW07NtuCWWXsKMhOhauRh54skQEhkF7g6I4I0tzZxq8qq61mpgf-O9gjK_vhztwpe6Kjzmn4gsR96T5BmfpwPoMem_BJdFuL21WzvJP04x8YxIlzNlQypHxrnnUp5pOaw-tkipH-trKBxFwHb7Ny8zAt-6YVA8-NrU82asXAvFquW_RhI2rS57HSRNwO1ALaPmFzq5J82R8aZKdOOBUT-pusRTpE63fpvPQBdpjff67oZ9R7H7hiDWZnahI8zEFYOjrNhJiToJG__5hLFsIMraVjyMP-e44&CLICK&reqid=wuMYXz6KLC&pos=9&redirect=https%3A%2F%2Ftiki.vn%2Fdien-thoai-samsung-galaxy-m22-6gb-128gb-hang-chinh-hang-p138914723.html%3Fspid%3D138924368,https://salt.tikicdn.com/cache/200x200/ts/product/00/87/29/6a9b9cd4e316041076b1aa3c5227fcc2.PNG,4.8,1000,True,False,True,14,True,False,Ad,,No
9,Điện Thoại Tecno Spark 6 Go 4GB/64GB - Hàng Chính Hãng,2739000,https://tiki.vn/dien-thoai-tecno-spark-6-go-4gb-64gb-hang-chinh-hang-p143359355.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_rulebase-newsku-listing-selected-w-competitor-v1_UNK_RB_PID.155187328&itm_medium=CPC&itm_source=tiki-reco&spid=155187328,https://salt.tikicdn.com/cache/200x200/ts/product/ef/cf/b7/583986f86091a161de8da0075149c78c.png,0.0,False,True,True,False,0,False,False,False,,False
